,x
1860,0.411
1861,1.544
1862,1.267
1863,0.373
1864,0.535
1865,1.502
1866,0.986
1867,1.964
1868,0.485
1869,0.733
1870,0.416
1871,1.172
1872,1.633
1873,0.724
1874,0.54
1875,0.87
1876,0.805
1877,0.437
1878,0.499
1879,0.616
1880,1.227
1881,0.546
1882,0.28
1883,0.55
1884,0.029
1885,0.777
1886,0.998
1887,0.302
1888,0.61
1889,1.033
1890,0.497
1891,1.481
1892,0.417
1893,0.664
1894,0.344
1895,0.494
1896,0.657
1897,0.495
1898,1.347
1899,1.296
1900,0.71
1901,0.989
1902,1.765
1903,0.37
1904,2.156
1905,0.405
1906,0.25
1907,0.958
1908,0.399
1909,0.431
1910,0.711
1911,0.457
1912,1.228
1913,0.497
1914,0.578
1915,0.477
1916,0.724
1917,0.903
1918,0.787
1919,0.611
1920,0.49
1921,0.73
1922,0.756
1923,0.835
1924,0.62
1925,0.382
1926,0.55
1927,2.725
1928,0.977
1929,0.379
1930,0.596
1931,1.792
1932,0.203
1933,0.333
1934,0.761
1935,0.544
1936,0.517
1937,0.836
1938,2.243
1939,0.739
1940,0.769
1941,0.456
1942,0.29
1943,0.996
1944,1.275
1945,0.494
1946,0.313
1947,0.203
1948,1.429
1949,0.255
1950,1.633
1951,1.01
1952,0.359
1953,0.474
1954,0.924
1955,0.492
1956,0.408
1957,0.505
1958,0.655
1959,1.13
1960,1.587
1961,1.047
1962,0.357
1963,0.39
1964,1.29
1965,0.487
1966,0.94
1967,0.852
1968,0.61
1969,1.667
1970,0.39
1971,0.856
1972,0.766
1973,0.32
1974,0.778
1975,1.507
1976,0.387
1977,0.655
1978,0.411
1979,0.435
1980,0.159
1981,3.44
1982,0.271
1983,0.824
1984,1.19
1985,0.759
1986,0.297
1987,0.58
1988,0.529
1989,0.426
1990,0.413
1991,0.308
1992,0.639
1993,0.598
1994,0.685
1995,0.376
1996,0.953
1997,1.831
1998,0.615
1999,0.404
2000,1.279
2001,0.583
2002,0.357
2003,0.601
2004,1.51
2005,0.725
2006,0.77
2007,1.072
2008,0.811
2009,0.81
2010,0.694
2011,0.423
2012,0.532
2013,0.398
2014,0.48
2015,0.327
2016,0.419
2017,2.188
